dx1,dy1,dx2,dy2,dx3,dy3,dx4,dy4,dx5,dy5,dx6,dy6,dx7,dy7,dx8,dy8,dx9,dy9,dx10,dy10,Distance,Username
-1016,-926,-841,166,0,0,53,-304,358,129,283,-253,-1005,195,35,315,363,-42,283,-104,5308.22985,Zack
-166,-246,-878,166,-186,-107,127,-349,1119,40,392,376,-1289,-54,-77,-494,717,326,473,-271,6562.045935,Zack
92,562,-40,232,557,-442,326,-92,179,371,435,-44,-43,-501,-255,-110,-289,272,-839,353,4791.506525,Zack
-27,-326,40,-172,186,-37,618,372,626,-173,593,486,-294,-531,-373,19,-286,354,-726,116,5001.595139,Zack
-164,569,145,-439,161,-234,145,-79,3,-11,-529,-73,1,169,2431,406,-342,-569,-1569,649,7044.53841,Zack
559,568,-374,-503,-405,733,205,-537,490,435,480,193,33,-596,-401,295,-93,115,560,-1,5811.194828,Zack
-70,-159,-1419,-996,-261,16,583,-16,1959,0,0,0,0,170,0,1429,-199,0,-2360,0,8869.096273,Gunt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unmoving
